x,y_true
4.967141530112326731e-01,-1.314267211263150159e+00
-1.382643011711846559e-01,-1.221512671936165306e+00
6.476885381006924902e-01,-1.882555720402510513e+00
1.523029856408025351e+00,-3.900392377896165108e+00
-2.341533747233359719e-01,-1.047376457217797485e+00
-2.341369569491805469e-01,-1.549117361906910517e+00
1.579212815507391454e+00,-3.754573296430467888e+00
7.674347291529087789e-01,-1.536655456047630208e+00
-4.694743859349521098e-01,-1.890150441044672114e+00
5.425600435859646575e-01,-1.304930941303308112e+00
-4.634176928124622563e-01,-1.291496823693067508e+00
-4.657297535702568658e-01,-1.513591952483733571e+00
2.419622715660341150e-01,-9.896646740804345699e-01
-1.913280244657797891e+00,-1.143849334228450765e+01
-1.724917832513032767e+00,-9.333655604802483907e+00
-5.622875292409726944e-01,-2.094752258356092245e+00
-1.012831120334423796e+00,-4.395953509163494033e+00
3.142473325952738761e-01,-5.205249202589170565e-01
-9.080240755212108938e-01,-3.288798089947200687e+00
-1.412303701335291484e+00,-6.440913552061273251e+00
1.465648768921554046e+00,-3.633385574480149316e+00
-2.257763004865356582e-01,-1.402069906013550193e+00
6.752820468792383735e-02,-1.021744754982297110e+00
-1.424748186213456780e+00,-7.039669635277875592e+00
-5.443827245251826596e-01,-1.344023601973240112e+00
1.109225897098660846e-01,-1.277364915063021966e+00
-1.150993577422302794e+00,-4.940506917776837703e+00
3.756980183456719580e-01,-1.188604973912597451e+00
-6.006386899188049799e-01,-1.764841241292317564e+00
-2.916937497932767798e-01,-1.319835762551219149e+00
-6.017066122293969199e-01,-2.399343466140622549e+00
1.852278184508937775e+00,-4.715631740233221514e+00
-1.349722473793392094e-02,-8.243635434812306428e-01
-1.057710928955900354e+00,-3.986746538651712690e+00
8.225449121031890298e-01,-1.595998984842041057e+00
-1.220843649971022238e+00,-4.538635086620666392e+00
2.088635950047554035e-01,-4.338090416520649084e-01
-1.959670123879775572e+00,-1.208984835159618498e+01
-1.328186048898430505e+00,-5.489185345770530411e+00
1.968612358691235187e-01,-8.809972584557943520e-01
7.384665799954104326e-01,-1.475845501287827322e+00
1.713682811899704950e-01,-1.394607966704006774e+00
-1.156482823882405281e-01,-1.127633655240682486e+00
